text,label
sabujurannya dasar banyak polisi jua nang bejual narkobanya ngini jadi am ngalih ditangkapi nih orang nang manangkapi nang bajual,1
kahandakan lakas dapat duit lakas naik pangkat manjabak urang babungulan,1
keji wan judas banar olah polisi ini coba bayang akan barapa banyak nang kada terekam cctv,1
bebungulan handak mencari pangkat kaitu dasar buhan warik nih,1
ulun kisah bungul haja oh kaitu kah caranya inggih gin umpati alurnya aja,1
gila jabatan amun jadi polisi kawal,1
ngerinya wani banar kaitu tikus got,1
oknum polisi iblis labih buruk lalu kalakuan pada iblis,1
biasanya sih maling nang bungul amun beraksi kada sadar ada cctv lah ini malah oknum aparatnya nang bungul,1
nang kawannya wajib mati,1
di kriminalisasi dasar kami sudah kada percaya lagi lawan polisi,1
loh maka buhan kam biasa dah lawan judas bubuhan polisi,1
hanya polisi tidur nang gawiannya bujur,1
oknum tarus palir oknum,1
pacul jabatan kah ah tahi pacul jua dari kepolisian,1
kaploresnya mambantah ujar rajin suruhan kapolresnya jua nang manyuruh manjabak urang kasat narkobanya jujur,1
najis kaitu sifat polisi,1
polisi bungul,1
tau sorang lo kaya apa kelakuan polisi tu,1
penegak hukum di negara ini lagi garing banar,1
biasa dah kaini demi naik pangkat urang kada salah jadi target ini lah hukum indonesia,1
mudahan anak cucu ikam dapat balasan percaya haja karma itu ada,1
oknum oknum penghuni neraka,1
ni nang dicabut kasatnya mun kita salah komen harau kita jadi target mbah ni,1
begal dapat izin tuh kada sekalian keluarga polisinya tu haja nang kena begal,1
kada bisi akal sihat polisinya nang kaya itu maka jadi polisi baik kada usah ada lagi polisi,1
bungul lalu,1
bayangkan kalau kadada cctv warga nang dijebak polisi pasti sudah temasuk dalam penjara keluarganya langsung jatuh miskin,1
mun kaitu baik jadi begal ja,1
ular tadung amun kada diganggu inya kada meigut kaitu jua manusia amun terasa terancam apa boleh buat dari pada mati konyol lebih baik melawan amun wahini buhan begal bayar pajak makanya dilindungi hukum,1
mirisnya heh hukum negara kaini,1
sandat pak masih pansing amun masih pansing kada usah bepandir,1
negara indonesia nih loco tapi bungul,1
cabut haja bungul,1
ini hanyar nang ketahuan balum lagi nang kada ketahuan kasihan masyarakat dijabak kaitu untungnya ada cctv ngaran handak ditampaikan lawan urang banyak mudahan jara sagan oknum polisi nang lain menjabak masyarakat kaya itu kasian masyarakat kada berdaya sakahandak bubuhan polisi kaitu jaka kada masuk penjara jakanya kadada cctv,1
warga prindavan kita sudah kada bungul lagi pak polisi kita sudah pintar haha kada kawa mambunguli rayat lagi,1
lah palir begal haja kada mikirakan mamatii korbannya nang penting barang dapat,1
polisi nang bepander bungul,1
liwar tahi,1
jangan tapi dikarasi begal sudah beisi undang undang,1
dan begal boleh mamatii korban kaitu lo maksud polisi tu jaka polisinya nang kena begal hanyar tahu rasa,1
arai badahulu harau di balas urang kena mental hukum,1
dasar bungul hukum wadah kita ni mambela diri dari begal malah jadi tarsangka kahandaknya tu korban begal tu harus mati dibunuh hanyar kawa buhan begal tu dijadikan tersangka dasar bungul,1
aku sambat dah hukum di negeri ini gila lawan aparatnya jua,1
bukah di sasahi sorang mati sekali sorang malawan sorang jadi tersangka iya polisi iq jungkuk,1
ini pang bukti pas handak masuk polisi dengan jalur menapal,1
amun begalnya keluarga sidin,1
hukum tambuk,1
pungang,1
cara supaya polisi kelihatan begagawian lawan cara supaya tambah banyak begal nang bekeliaran,1
ma lawan akan diri itu bungul,1
kaya in dah hukum di negeri lawak meolah mangankang,1
bungul banar hukum di indonesia kayapa kada kompeten kepolisian republik indonesia supan lah lawan negara lain kita,1
kepolisian pemikirannya dasar aneh,1
hukum nang kacau bungul pada urang gila lagi,1
bearti pemerintah wahini kada kawa ditaati lagi,1
kepada bubuhan begal begal haja bapak nang pakai seragam nang lagi melucu tu itu toh amun ditembak mati lawan inya inya nang bakalan jadi tersangk anyaman haja buka kasi dicuba,1
hukum tahi di indonesia ini,1
kasihan masyarakat nang bujur jadi tetangkap amun ini hanya sepalih wara nang ketahuan kaya apa nang lain kada bisi bukti pasti banyak nang kaitu kada basalah malah jadi tetangkap malah luntur kapercayaan masyarakat lawan polisi kamana lagi harus beadu amun polisinya kaya ini rusak sudah,1
jadi bahasanya tu bungul pada sandal ,1
kada lulus sekolah kah polisinya jadi jawabannya kaitu,1
hukum di indonesia nih lucu rasa dipimpin pelawak jua,1
mau ketawa tapi bungulnya polisi prindavan,1
masuk akal pang bepikir heh mun kada di lawan behimat sorang nang kena timpas kaya apa amunnya itu kejadian disalah keluarga beliau kasian dangkal cara berpikir,1
ulun mulai curiga sekalinya begal itu adalah sekelompok bersenjata nang di lindungi negara,1
ciri akhir jaman bermunculannya pemimpin bungul,1
dangari polisinya menjawab jawabannya kacau pintaran anak sd menjawab pertanyaan,1
bungul mati di bunuh begal lah sagan apa belajar bela diri,1
bakar kantor polisinya,1
amun polisi bepandir nyaman lah samisanya haja polisi nang dibegal mbah tu dibunuh begal kaya apa handak pasrah dimutilasi lawan begal pasti inya malawan i jua biar kita negara hukum nang ngarannya lagi dibegalkita harus lawan lah masa harus pasrah kaitu kan bungul apa kada sanang lawan nyawa ikam wan handak lakas lakas mati dengan cara dibegal ketu amun ulun jadi atas ulun pecat haja polisi kaya itu ini keyapa ujar pak presiden masa malawan begal di kenakan pidana aduh untung masih bisa hidup lah amun mati polisi handak menanggung sakitnya inya apa lagi amun inya bisi keluarganya konyol banar dinegara sendiri polisi kaitu,1
sanang bayar pajak sagan bayar gaji aparat kaini,1
lah tambuk banar siapa gerang pimpinannya kan itu resto non halal kita muslim jua biar kada bulan ramadhan kada boleh makan di rumah makannya itu sasaran marketnya gin non muslim jadi amun ada nang puasanya batal gara gara rumah makan non halal buka nang salah urangnya tu lah nang batal kaya itu na amun urang sedikit banar ilmu dibari surat tugas melayau ,1
inilah contoh begawi kada pakai utak mangut haja nang pentingnyari gajih waninya baramian,1
sungguh jarang nang mulia mamatikan urang lain mencari nafkah gila hormat,1
ngalih ai mun kada pintar,1
babau hinak buhan satuan polisi pamong praja banjar kam tahu lah,1
ibu kota para kadrun,1
apalagi mun urang non muslim meulah gereja bisa tambah camuh toleransi apa kisahnya kaini bungul,1
menyupani haja meulah perda sagan pencitraan wara nang dibungkus lawan jualan agama utak kada waras,1
